name;used
Москва;0
Абрамцево;0
Алабино;0
Апрелевка;0
Архангельское;0
Ашитково;0
Бакшеево;0
Балашиха;0
Барыбино;0
Белоомут;0
Белые Столбы;0
Бронницы;0
Валуево;0
Вербилки;0
Верея;0
Видное;0
Внуково;0
Вождь Пролетариата;0
Волоколамск;0
Воскресенск;0
Восточный;0
Востряково;0
Высоковск;0
Голицино;0
Деденево;0
Дедовск;0
Джержинский;0
Дмитров;0
Долгопрудный;0
Домодедово;0
Дорохово;0
Дрезна;0
Дубки;0
Егорьевск;0
Жилево;0
Жуковский;0
Загорск;0
Загорянский;0
Запрудная;0
Зарайск;0
Звенигород;0
Зеленоград;0
Икша;0
Истра;0
Кашира;0
Керва;0
Климовск;0
Клин;0
Клязьма;0
Кожино;0
Кокошкино;0
Коломна;0
Колюбакино;0
Королев;0
Косино;0
Котельники;0
Красково;0
Красногорск;0
Краснозаводск;0
Красный Ткач;0
Крюково;0
Кубинка;0
Купавна;0
Куровское;0
Лесной Городок;0
Ликино-Дулево;0
Лобня;0
Лопатинский;0
Лосино-Петровский;0
Лотошино;0
Лукино;0
Луховицы;0
Лыткарино;0
Львовский;0
Люберцы;0
Малаховка;0
Михайловское;0
Михнево;0
Можайск;0
Монино;0
Муханово;0
Мытищи;0
Нарофоминск;0
Нахабино;0
Некрасовка;0
Немчиновка;0
Новобратцевский;0
Новоподрезково;0
Ногинск;0
Обухово;0
Одинцово;0
Ожерелье;0
Озеры;0
Опалиха;0
Орехово-Зуево;0
Павловский Посад;0
Пески;0
Пироговский;0
Подольск;0
Полушкино;0
Правдинский;0
Привокзальный;0
Пролетарский;0
Протвино;0
Пущино;0
Радовицкий;0
Раменское;0
Реутов;0
Решетниково;0
Рошаль;0
Рублево;0
Руза;0
Салтыковка;0
Северный;0
Сергиев Посад;0
Серебряные Пруды;0
Серпухов;0
Солнечногорск;0
Солнцево;0
Софрино;0
Старая Купавна;0
Старбеево;0
Ступино;0
Сходня;0
Талдом;0
Текстильщик;0
Темпы;0
Тишково;0
Томилино;0
Туголесский Бор;0
Тучково;0
Уваровка;0
Удельная;0
Успенское;0
Фирсановка;0
Фосфоритный;0
Фрязино;0
Фряново;0
Химки;0
Хорлово;0
Хотьково;0
Черкизово;0
Черноголовка;0
Черусти;0
Чехов;0
Шарапово;0
Шатура;0
Шатурторф;0
Шаховская;0
Шереметьевский;0
Щелково;0
Щербинка;0
Электрогорск;0
Электросталь;0
Электроугли;0
Яхрома;0
Санкт-Петербург;0
Александровская;0
Бокситогорск;0
Большая Ижора;0
Будогощь;0
Вознесенье;0
Волосово;0
Волхов;0
Всеволожск;0
Выборг;0
Вырица;0
Высоцк;0
Гатчина;0
Дружная Горка;0
Ефимовский;0
Ивангород;0
Каменногорск;0
Кикерино;0
Кириши;0
Кобринское;0
Колпино;0
Коммунар;0
Кронштадт;0
Лисий Нос;0
Лодейное Поле;0
Ломоносов;0
Луга;0
Парголово;0
Петродворец;0
Пикалёво;0
Подпорожье;0
Приозерск;0
Пушкин;0
Сестрорецк;0
Сланцы;0
Сосновый Бор;0
Тихвин;0
Тосно;0
Шлиссельбург;0
Адыгейск;0
Акутиха;0
Алейск;0
Алтайский;0
Баево;0
Барнаул;0
Белокуриха;0
Белоярск;0
Бийск;0
Боровлянка;0
Бурла;0
Бурсоль;0
Волчиха;0
Горно-Алтайск;0
Ельцовка;0
Залесово;0
Заринск;0
Заток;0
Змеиногорск;0
Камень-на-Оби;0
Кош-Агач;0
Краснощеково;0
Кулунда;0
Кытманово;0
Мамонтово;0
Новичиха;0
Новоалтайск;0
Онгудай;0
Петропавловское;0
Поспелиха;0
Ребриха;0
Родино;0
Рубцовск;0
Смоленское;0
Солонешное;0
Солтон;0
Староаллейское;0
Табуны;0
Тальменка;0
Топчиха;0
Турочак;0
Тюменцево;0
Угловское;0
Усть-Калманка;0
Усть-Кан;0
Усть-Кокса;0
Усть-Улаган;0
Усть-Чарышская Пристань;0
Хабары;0
Чарышское;0
Шебалино;0
Шелаболиха;0
Шипуново;0
Айгунь;0
Архара;0
Благовещенск (Амурская обл.);0
Бурея;0
Возжаевка;0
Екатеринославка;0
Ерофей Павлович;0
Завитинск;0
Зея;0
Златоустовск;0
Коболдо;0
Магдагачи;0
Новобурейский;0
Поярково;0
Райчихинск;0
Свободный;0
Серышево;0
Сковородино;0
Стойба;0
Тамбовка;0
Тында;0
Шимановск;0
Экимчан;0
Ядрино;0
Амдерма;0
Архангельск;0
Березник;0
Вельск;0
Верхняя Тойма;0
Волошка;0
Вычегодский;0
Емца;0
Илеза;0
Ильинско-Подомское;0
Каргополь;0
Карпогоры;0
Кодино;0
Коноша;0
Коряжма;0
Котлас;0
Красноборск;0
Лешуконское;0
Мезень;0
Нарьян-Мар;0
Новодвинск;0
Няндома;0
Онега;0
Пинега;0
Плесецк;0
Северодвинск;0
Сольвычегодск;0
Холмогоры;0
Шенкурск;0
Яренск;0
Астрахань;0
Ахтубинск;0
Верхний Баскунчак;0
Володарский;0
Енотаевка;0
Икряное;0
Камызяк;0
Капустин Яр;0
Лиман;0
Началово;0
Харабали;0
Черный Яр;0
Аксаково;0
Амзя;0
Аскино;0
Баймак;0
Бакалы;0
Белебей;0
Белорецк;0
Бижбуляк;0
Бирск;0
Большеустьикинское;0
Бураево;0
Верхнеяркеево;0
Верхние Киги;0
Верхние Татышлы;0
Верхний Авзян;0
Давлеканово;0
Дуван;0
Дюртюли;0
Ермекеево;0
Ермолаево;0
Зилаир;0
Зирган;0
Иглино;0
Инзер;0
Исянгулово;0
Ишимбай;0
Кананикольское;0
Кандры;0
Караидель;0
Караидельский;0
Киргиз-Мияки;0
Красноусольский;0
Кумертау;0
Кушнаренково;0
Малояз;0
Мелеуз;0
Месягутово;0
Мраково;0
Нефтекамск;0
Раевский;0
Салават;0
Сибай;0
Старобалтачево;0
Старосубхангулово;0
Стерлибашево;0
Стерлитамак;0
Туймазы;0
Уфа;0
Учалы;0
Чекмагуш;0
Чишмы;0
Шаран;0
Янаул;0
Белгород;0
Борисовка;0
Валуйки;0
Вейделевка;0
Волоконовка;0
Грайворон;0
Губкин;0
Ивня;0
Короча;0
Новый Оскол;0
Старый Оскол;0
Строитель;0
Чернянка;0
Шебекино;0
Алтухово;0
Белая Березка;0
Белые Берега;0
Большое Полпино;0
Брянск;0
Бытошь;0
Выгоничи;0
Гордеевка;0
Дятьково;0
Жирятино;0
Жуковка;0
Злынка;0
Ивот;0
Карачев;0
Клетня;0
Климово;0
Клинцы;0
Кокаревка;0
Комаричи;0
Красная Гора;0
Локоть;0
